Субъект РФ;Численность студентов, всего человек;Численность студентов, очная форма, человек;Численность студентов очно-заочная (вечерняя) форма, человек;Численность студентов заочная форма, человек;Год формирования сведений
Российская Федерация;4044203;2474778;264816;1304609;2021
Центральный федеральный округ;1312546;806080;120813;385653;2021
   Белгородская область;46567;24531;1179;20857;2021
   Брянская область;22070;10806;1455;9809;2021
   Владимирская область;24563;11228;2878;10457;2021
   Воронежская область;85389;50374;2381;32634;2021
   Ивановская область;23635;14971;1586;7078;2021
   Калужская область;19268;10883;1215;7170;2021
   Костромская область;9555;5366;409;3780;2021
   Курская область;36104;19188;1351;15565;2021
   Липецкая область;18414;10258;3164;4992;2021
   Московская область;76309;39771;6689;29849;2021
   Орловская область;26194;14573;1693;9928;2021
   Рязанская область;29094;16814;1498;10782;2021
   Смоленская область;22189;13478;1066;7645;2021
   Тамбовская область;27747;14424;1475;11848;2021
   Тверская область;21868;13832;736;7300;2021
   Тульская область;33250;15920;2704;14626;2021
   Ярославская область;31006;19324;1581;10101;2021
   г.Москва;759324;500339;87753;171232;2021
Северо-Западный федеральный округ;428150;303912;17206;107032;2021
   Республика Карелия;10613;7781;316;2516;2021
   Республика Коми;12923;6717;572;5634;2021
   Архангельская область;17175;11949;707;4519;2021
   Вологодская область;18194;9662;721;7811;2021
   Калининградская область;20770;13149;566;7055;2021
   Ленинградская область;6767;3074;462;3231;2021
   Мурманская область;6669;3660;220;2789;2021
   Новгородская область;8262;5287;252;2723;2021
   Псковская область;10980;5969;375;4636;2021
   г.Санкт-Петербург;315797;236664;13015;66118;2021
   Ненецкий автономный округ;0;0;0;0;2021
Южный федеральный округ;385993;224647;24316;137030;2021
   Республика Адыгея;14003;8093;1173;4737;2021
   Республика Калмыкия;8560;4125;649;3786;2021
   Краснодарский край;101550;56557;7433;37560;2021
   Астраханская область;28404;16977;2072;9355;2021
   Волгоградская область;56582;32686;3601;20295;2021
   Ростовская область;129812;73120;7935;48757;2021
   Республика Крым;33083;23214;985;8884;2021
   г.Севастополь;13999;9875;468;3656;2021
Северо-Кавказский федеральный округ;203062;109529;14556;78977;2021
   Республика Дагестан;51287;25286;2884;23117;2021
   Республика Ингушетия;7856;4121;301;3434;2021
   Кабардино-Балкарская Республика;14915;10908;584;3423;2021
   Карачаево-Черкесская Республика;10440;5596;297;4547;2021
   Республика Северная Осетия - Алания;19511;13177;740;5594;2021
   Чеченская Республика;33718;15048;3626;15044;2021
   Ставропольский край;65335;35393;6124;23818;2021
Приволжский федеральный округ;790789;468620;44393;277776;2021
   Республика Башкортостан;95712;51633;5146;38933;2021
   Республика Марий Эл;16828;11070;1361;4397;2021
   Республика Мордовия;24450;15171;1105;8174;2021
   Республика Татарстан;141394;90945;6824;43625;2021
   Удмуртская Республика;40783;21024;2237;17522;2021
   Чувашская Республика;34392;17406;2618;14368;2021
   Пермский край;53622;33972;2567;17083;2021
   Кировская область;25717;15588;1843;8286;2021
   Нижегородская область;84625;51801;5849;26975;2021
   Оренбургская область;41197;23077;1840;16280;2021
   Пензенская область;30843;18772;1116;10955;2021
   Самарская область;97873;57319;6991;33563;2021
   Саратовская область;68618;40602;2667;25349;2021
   Ульяновская область;34735;20240;2229;12266;2021
Уральский федеральный округ;282658;166528;13669;102461;2021
   Курганская область;14369;5887;604;7878;2021
   Свердловская область;117343;72897;6663;37783;2021
   Тюменская область;48386;31494;966;15926;2021
   Челябинская область;82525;43096;4106;35323;2021
   Ханты-Мансийский автономный округ;19807;13146;1276;5385;2021
   Ямало-Ненецкий автономный округ;228;8;54;166;2021
Сибирский федеральный округ;468614;288908;24009;155697;2021
   Республика Алтай;2522;1550;56;916;2021
   Республика Тыва;5494;2639;181;2674;2021
   Республика Хакасия;7571;4158;408;3005;2021
   Алтайский край;51134;33055;1506;16573;2021
   Красноярский край;64916;43638;2291;18987;2021
   Иркутская область;64540;39238;2170;23132;2021
   Кемеровская область;43839;25000;3997;14842;2021
   Новосибирская область;96536;63566;4400;28570;2021
   Омская область;72642;35127;6138;31377;2021
   Томская область;59420;40937;2862;15621;2021
Дальневосточный федеральный округ;172391;106554;5854;59983;2021
   Республика Бурятия;19444;10312;826;8306;2021
   Республика Саха (Якутия);22690;14868;856;6966;2021
   Забайкальский край;20246;9228;800;10218;2021
   Камчатский край;4111;2069;286;1756;2021
   Приморский край;42104;32575;1084;8445;2021
   Хабаровский край;39734;23842;1378;14514;2021
   Амурская область;14310;9746;168;4396;2021
   Магаданская область;2584;1149;80;1355;2021
   Сахалинская область;5118;1862;376;2880;2021
   Еврейская автономная область;1957;861;0;1096;2021
   Чукотский автономный округ;93;42;0;51;2021
